language,count,mean,median
JavaScript,545,76.24075229357798,84.32
Python,531,82.36199623352167,92.73
make,433,83.88849884526559,94.02
CSS,420,74.70485714285715,83.12
TypeScript,317,71.45447949526813,76.88
Nix,264,85.80700757575757,95.225
Bourne Again Shell,263,83.99730038022814,93.51
C/C++ Header,260,77.35138461538462,85.845
C,193,77.10523316062176,86.38
SQL,152,80.40657894736842,89.66
C++,132,72.83015151515151,81.745
PowerShell,122,82.5888524590164,89.88499999999999
Go,87,72.22333333333334,81.01
Handlebars,80,82.39137500000001,90.25
diff,76,71.34684210526315,76.31
Java,74,70.78405405405405,78.38499999999999
GLSL,62,84.39774193548386,94.57
Ruby,58,76.95068965517243,82.66499999999999
Lua,58,79.41155172413792,85.0
Assembly,56,81.7219642857143,92.195
SCSS,55,72.55272727272727,76.0
Fish Shell,53,85.23622641509434,94.07
WGSL,51,85.50313725490196,94.41
Jupyter Notebook,41,72.78317073170732,79.35
WiX source,40,81.4725,93.35499999999999
Gradle,39,70.04230769230769,76.35
Freemarker Template,38,79.61657894736841,91.255
Windows Resource File,38,82.95763157894737,93.81
Swift,36,68.445,76.4
Pest,36,84.64111111111112,95.53
C#,36,70.21194444444444,80.16
zsh,35,82.81685714285715,92.26
Vuejs Component,35,64.67885714285714,65.8
Linker Script,34,86.65176470588234,93.375
Solidity,33,79.73151515151515,89.88
Kotlin,31,58.86806451612903,56.82
JSX,30,68.135,72.75
Jinja Template,30,74.30533333333332,74.41499999999999
MSBuild script,29,66.19413793103448,75.96
PHP,28,74.09607142857143,89.225
vim script,27,76.46407407407408,81.79
Svelte,26,61.004999999999995,66.00999999999999
Logos,26,91.35076923076923,98.75999999999999
PO File,26,47.76769230769231,43.754999999999995
Nushell,25,81.7788,94.36
WebAssembly,24,81.62458333333333,85.955
JSON5,24,86.51041666666667,95.60499999999999
Maven,22,63.678636363636365,70.86
HCL,21,70.80428571428571,84.35
Scheme,21,58.97142857142857,70.63
Visual Studio Solution,20,65.32300000000001,75.49
Lisp,20,74.65599999999999,82.735
XML (Qt/GTK),18,62.33944444444444,57.595
Meson,17,58.61058823529412,57.49
CUDA,17,87.11588235294118,90.62
Windows Module Definition,14,61.60785714285714,67.455
Containerfile,14,86.53142857142858,97.04499999999999
Flatbuffers,13,78.43153846153847,88.71
Objective-C,12,65.0625,72.44
Astro,12,82.045,86.85
Snakemake,12,88.40583333333332,91.455
Dart,11,60.59,71.58
Metal,11,85.39181818181818,86.37
D,10,48.126,49.905
LLVM IR,10,76.392,79.305
OCaml,10,56.80799999999999,69.88
Scala,10,57.516,63.425
Org Mode,10,77.618,84.805
Zig,10,69.352,77.53999999999999
HLSL,10,71.691,75.38499999999999
Fortran 77,10,61.751999999999995,69.425
Elixir,9,66.10666666666667,78.05
Perl,8,71.30625,85.53
Objective-C++,8,67.02375,59.655
EJS,8,80.1125,93.69
Expect,8,77.6775,86.45500000000001
liquid,8,78.66625,93.55000000000001
Typst,7,42.83714285714286,50.03
awk,7,55.31857142857143,65.8
XSLT,7,67.0,78.2
NAnt script,7,80.86857142857143,93.51
Pascal,7,58.527142857142856,87.27
ERB,7,69.52857142857144,69.9
Julia,7,67.1542857142857,77.92
Erlang,6,67.445,78.22999999999999
F#,6,71.85166666666667,71.815
m4,6,62.51333333333334,67.57
Starlark,6,70.60833333333333,73.495
Blueprint,6,63.25,62.85
Brainfuck,6,94.40500000000002,95.895
Cucumber,6,82.63,84.83500000000001
Racket,6,70.345,70.75
Prisma Schema,6,72.75,86.58500000000001
Jsonnet,5,71.934,74.16
Cython,5,57.79600000000001,49.64
Crystal,5,71.594,77.83
Haskell,5,73.442,77.83
GDScript,5,68.936,75.09
R,5,71.904,77.83
Rego,5,72.562,83.07
LESS,5,49.476,43.17
Elixir Script,5,76.86999999999999,78.05
Mustache,5,64.284,73.11
yacc,5,51.288,48.81
TLA+,5,79.292,81.5
QML,5,55.588,65.8
Godot Scene,4,79.165,81.2
IDL,4,88.0575,89.44999999999999
Gencat NLS,4,75.3575,76.495
Fortran 90,4,43.0725,38.47
Tcl/Tk,4,72.25999999999999,80.6
Slint,4,71.9125,66.21000000000001
WiX string localization,4,67.78999999999999,59.254999999999995
Stylus,4,69.75,77.52
PlantUML,4,73.9075,82.485
Sass,4,66.3225,70.14500000000001
Luau,4,79.825,77.71000000000001
Cairo,4,65.59,76.61500000000001
TNSDL,3,74.12,95.34
Verilog-SystemVerilog,3,70.89666666666666,87.27
sed,3,59.85666666666666,76.65
Odin,3,33.96666666666667,28.02
Nim,3,47.29333333333333,36.03
Pawn,3,89.42333333333333,92.01
ReasonML,3,71.45,87.27
Visual Basic,3,60.39666666666667,65.8
Elm,3,60.0,74.15
Godot Resource,3,72.71666666666667,75.09
Haml,3,61.27333333333333,65.8
CoffeeScript,3,67.87333333333333,85.6
Razor,3,47.98999999999999,65.8
Unity-Prefab,2,87.095,87.095
ProGuard,2,54.015,54.015
VHDL,2,46.91,46.91
Bazel,2,28.28,28.28
C# Generated,2,47.28,47.28
Gleam,2,79.99000000000001,79.99000000000001
DTD,2,59.660000000000004,59.660000000000004
ASP,2,48.96,48.96
ActionScript,2,31.799999999999997,31.799999999999997
C Shell,2,58.4,58.4
AutoHotkey,2,98.1,98.1
Clojure,2,62.364999999999995,62.364999999999995
Circom,2,82.425,82.425
Arduino Sketch,2,35.66,35.66
Standard ML,2,63.345,63.345
XAML,2,55.815,55.815
WiX include,2,47.935,47.935
Windows Message File,2,74.705,74.705
XHTML,2,80.185,80.185
Qt Project,2,93.72,93.72
Prolog,2,76.22999999999999,76.22999999999999
SWIG,2,73.405,73.405
Puppet,2,46.91,46.91
OpenCL,2,52.93,52.93
Mathematica,2,63.169999999999995,63.169999999999995
OpenSCAD,2,41.08,41.08
Nickel,2,49.21,49.21
Glade,2,98.575,98.575
Godot Shaders,2,70.445,70.445
Lean,2,63.97,63.97
Groovy,2,63.125,63.125
Haxe,2,51.085,51.085
Chapel,1,65.8,65.8
COBOL,1,87.27,87.27
Cangjie,1,65.8,65.8
Korn Shell,1,65.8,65.8
Janet,1,65.8,65.8
Idris,1,28.02,28.02
JSP,1,28.02,28.02
Harbour,1,58.08,58.08
Hare,1,65.8,65.8
Glimmer TypeScript,1,65.8,65.8
Glimmer JavaScript,1,65.8,65.8
Futhark,1,65.8,65.8
Fennel,1,65.8,65.8
EEx,1,78.05,78.05
F# Script,1,0.06,0.06
Forth,1,96.29,96.29
ClojureScript,1,65.8,65.8
ColdFusion,1,28.02,28.02
Coq,1,97.08,97.08
BrightScript,1,65.8,65.8
AppleScript,1,28.02,28.02
ANTLR Grammar,1,48.05,48.05
APL,1,65.8,65.8
Apex Class,1,90.0,90.0
Ada,1,28.02,28.02
Arturo,1,65.8,65.8
Blade,1,86.86,86.86
Mako,1,86.86,86.86
Logtalk,1,65.8,65.8
Modelica,1,65.8,65.8
Mojo,1,65.8,65.8
MATLAB,1,49.25,49.25
Nunjucks,1,91.5,91.5
PEG,1,78.63,78.63
PL/M,1,93.85,93.85
SaltStack,1,28.02,28.02
Ruby HTML,1,2.93,2.93
RAML,1,97.52,97.52
Rmd,1,62.25,62.25
Pony,1,65.8,65.8
Pug,1,65.8,65.8
PureScript,1,28.02,28.02
Qt Linguist,1,22.73,22.73
Nextflow,1,65.8,65.8
MoonBit,1,79.31,79.31
TTCN,1,65.8,65.8
SurrealQL,1,98.66,98.66
Specman e,1,65.8,65.8
SugarSS,1,65.8,65.8
Stata,1,65.8,65.8
Slim,1,28.02,28.02
Visual Basic .NET,1,65.8,65.8
Velocity Template Language,1,65.8,65.8
UXML,1,57.43,57.43
Vala,1,28.41,28.41
Templ,1,65.8,65.8
TableGen,1,83.38,83.38
Twig,1,65.8,65.8
Titanium Style Sheet,1,57.43,57.43
XSD,1,97.77,97.77
Visual Basic Script,1,65.8,65.8
Vyper,1,28.02,28.02
Xtend,1,65.8,65.8
kvlang,1,65.8,65.8
dhall,1,65.8,65.8
bc,1,99.99,99.99
lex,1,89.17,89.17
