name,SLOC,Category,Languages
NiklasEi/bevy_asset_loader,5885,Small,Rust (5885)
tarkah/tickrs,5760,Small,Rust (5760)
sharkdp/pastel,5737,Small,Rust (5737)
skyzh/type-exercise-in-rust,5693,Small,Rust (5693)
taiki-e/cargo-hack,5674,Small,Rust (5674)
alexcrichton/tar-rs,5658,Small,Rust (5658)
llogiq/mutagen,5605,Small,Rust (5605)
Chleba/netscanner,5518,Small,Rust (5518)
johanhelsing/matchbox,5504,Small,Rust (5504)
pubgrub-rs/pubgrub,5488,Small,Rust (5488)
riker-rs/riker,5443,Small,Rust (5443)
softprops/shiplift,5441,Small,Rust (5441)
orhun/ratzilla,5428,Small,Rust (5428)
aome510/hackernews-TUI,5398,Small,Rust (5398)
WebAssembly/WASI,5357,Small,Rust (5357)
kaist-cp/cs431,5243,Small,Rust (5243)
robertpsoane/ducker,5220,Small,Rust (5220)
Lokathor/bytemuck,5206,Small,Rust (5206)
dtolnay/proc-macro2,5185,Small,Rust (5185)
aevyrie/bevy_mod_picking,5100,Small,Rust (5100)
mcginty/snow,5081,Small,Rust (5081)
uuid-rs/uuid,5069,Small,Rust (5069)
serialport/serialport-rs,5057,Small,Rust (5057)
glotlabs/gdrive,5055,Small,Rust (5055)
EmbarkStudios/puffin,5052,Small,Rust (5052)
smol-rs/polling,5047,Small,Rust (5047)
http-rs/tide,5022,Small,Rust (5022)
rust-lang/polonius,5020,Small,Rust (5020)
Peternator7/strum,4969,Small,Rust (4969)
snapview/tungstenite-rs,4903,Small,Rust (4903)
solidiquis/erdtree,4875,Small,Rust (4875)
rhysd/kiro-editor,4856,Small,Rust (4856)
zip-rs/zip-old,4853,Small,Rust (4853)
colin-kiegel/rust-derive-builder,4844,Small,Rust (4844)
rsadsb/adsb_deku,4841,Small,Rust (4841)
lemunozm/message-io,4837,Small,Rust (4837)
bitflags/bitflags,4823,Small,Rust (4823)
gorilla-devs/ferium,4799,Small,Rust (4799)
mooman219/fontdue,4752,Small,Rust (4752)
yassinebridi/serpl,4706,Small,Rust (4706)
rust-num/num-traits,4683,Small,Rust (4683)
rust-av/rust-av,4682,Small,Rust (4682)
mainmatter/100-exercises-to-learn-rust,4652,Small,Rust (4652)
Nukesor/comfy-table,4637,Small,Rust (4637)
async-raft/async-raft,4636,Small,Rust (4636)
rust-lang/flate2-rs,4535,Small,Rust (4535)
imsnif/bandwhich,4479,Small,Rust (4479)
erickt/rust-zmq,4413,Small,Rust (4413)
brendanzab/codespan,4383,Small,Rust (4383)
dtolnay/typetag,4371,Small,Rust (4371)
SergioBenitez/Figment,4359,Small,Rust (4359)
dtolnay/anyhow,4302,Small,Rust (4302)
lichess-org/fishnet,4299,Small,Rust (4299)
hora-search/hora,4232,Small,Rust (4232)
hahwul/jwt-hack,4211,Small,Rust (4211)
rust-analyzer/rowan,4199,Small,Rust (4199)
dtolnay/thiserror,4192,Small,Rust (4192)
gschup/ggrs,4152,Small,Rust (4152)
cyphar/paperback,4117,Small,Rust (4117)
burtonageo/cargo-bundle,4046,Small,Rust (4046)
autometrics-dev/autometrics-rs,4010,Small,Rust (4010)
nashaofu/xcap,3990,Small,Rust (3990)
orhun/systeroid,3899,Small,Rust (3899)
RustAudio/vst-rs,3879,Small,Rust (3879)
jrmuizel/raqote,3878,Small,Rust (3878)
PistonDevelopers/glfw-rs,3860,Small,Rust (3860)
i3visio/solana-mev-bot,3838,Small,Rust (3838)
0x192/universal-android-debloater,3827,Small,Rust (3827)
zkat/cacache-rs,3824,Small,Rust (3824)
ebkalderon/tower-lsp,3777,Small,Rust (3777)
rust-lang/log,3763,Small,Rust (3763)
microsoft/com-rs,3755,Small,Rust (3755)
SuperCuber/dotter,3716,Small,Rust (3716)
rathole-org/rathole,3679,Small,Rust (3679)
bodil/vgtk,3648,Small,Rust (3648)
pacak/cargo-show-asm,3612,Small,Rust (3612)
regolith-labs/ore-cli,3584,Small,Rust (3584)
lipanski/mockito,3487,Small,Rust (3487)
servo/rust-smallvec,3486,Small,Rust (3486)
valpackett/systemstat,3484,Small,Rust (3484)
dtolnay/trybuild,3466,Small,Rust (3466)
console-rs/dialoguer,3451,Small,Rust (3451)
hoodie/notify-rust,3441,Small,Rust (3441)
dtolnay/erased-serde,3407,Small,Rust (3407)
boinkor-net/governor,3399,Small,Rust (3399)
rust-phf/rust-phf,3393,Small,Rust (3393)
zkat/big-brain,3371,Small,Rust (3371)
rust-windowing/gl-rs,3354,Small,Rust (3354)
wssheldon/osintui,3310,Small,Rust (3310)
open-source-cooperative/keyring-rs,3303,Small,Rust (3303)
Kobzol/cargo-wizard,3247,Small,Rust (3247)
sudipghimire533/ytui-music,3246,Small,Rust (3246)
rust-fuzz/arbitrary,3240,Small,Rust (3240)
rust-shell-script/rust_cmd_lib,3239,Small,Rust (3239)
dtolnay/miniserde,3224,Small,Rust (3224)
owo-colors/owo-colors,3221,Small,Rust (3221)
mlange-42/git-graph,3208,Small,Rust (3208)
xacrimon/dashmap,3202,Small,Rust (3202)
JakWai01/lurk,3164,Small,Rust (3164)
p-e-w/savage,3144,Small,Rust (3144)
ihciah/shadow-tls,3142,Small,Rust (3142)
lmt-swallow/puppy-browser,3078,Small,Rust (3078)
fereidani/kanal,3058,Small,Rust (3058)
DNSCrypt/encrypted-dns-server,3058,Small,Rust (3058)
Keats/jsonwebtoken,3025,Small,Rust (3025)
tikv/pprof-rs,3018,Small,Rust (3018)
idanarye/rust-typed-builder,3016,Small,Rust (3016)
dtolnay/reflect,3012,Small,Rust (3012)
rust-embedded/embedded-hal,2993,Small,Rust (2993)
dtolnay/ryu,2992,Small,Rust (2992)
vorner/arc-swap,2959,Small,Rust (2959)
zargony/fuse-rs,2936,Small,Rust (2936)
tealdeer-rs/tealdeer,2935,Small,Rust (2935)
BurntSushi/byteorder,2905,Small,Rust (2905)
Findomain/Findomain,2896,Small,Rust (2896)
fornwall/rust-script,2856,Small,Rust (2856)
rust-secure-code/cargo-auditable,2848,Small,Rust (2848)
1Password/arboard,2818,Small,Rust (2818)
orhun/rustypaste,2808,Small,Rust (2808)
zesterer/ariadne,2800,Small,Rust (2800)
daboross/fern,2744,Small,Rust (2744)
Spotifyd/spotifyd,2700,Small,Rust (2700)
someguynamedjosh/ouroboros,2674,Small,Rust (2674)
rust-fuzz/cargo-fuzz,2674,Small,Rust (2674)
knurling-rs/probe-run,2639,Small,Rust (2639)
memorysafety/river,2638,Small,Rust (2638)
Macchina-CLI/macchina,2596,Small,Rust (2596)
LukeMathWalker/cargo-chef,2583,Small,Rust (2583)
sharkdp/hexyl,2580,Small,Rust (2580)
fadeevab/design-patterns-rust,2562,Small,Rust (2562)
sstadick/hck,2505,Small,Rust (2505)
yamafaktory/jql,2462,Small,Rust (2462)
itsjunetime/tdf,2452,Small,Rust (2452)
dtolnay/async-trait,2445,Small,Rust (2445)
jetli/rust-yew-realworld-example-app,2422,Small,Rust (2422)
messense/jieba-rs,2416,Small,Rust (2416)
LukeMathWalker/wiremock-rs,2408,Small,Rust (2408)
m4b/bingrep,2385,Small,Rust (2385)
matklad/once_cell,2382,Small,Rust (2382)
LeeeSe/MessAuto,2358,Small,Rust (2358)
frondeus/test-case,2357,Small,Rust (2357)
DNSCrypt/doh-server,2336,Small,Rust (2336)
colored-rs/colored,2324,Small,Rust (2324)
iovxw/rssbot,2285,Small,Rust (2285)
japaric/xargo,2275,Small,Rust (2275)
Stebalien/tempfile,2257,Small,Rust (2257)
dtolnay/semver,2251,Small,Rust (2251)
aramperes/onetun,2226,Small,Rust (2226)
bluss/arrayvec,2222,Small,Rust (2222)
dtolnay/quote,2208,Small,Rust (2208)
rharish101/ReGreet,2200,Small,Rust (2200)
makeecat/Peng,2178,Small,Rust (2178)
cjbassi/ytop,2175,Small,Rust (2175)
Kobzol/cargo-pgo,2172,Small,Rust (2172)
djc/bb8,2167,Small,Rust (2167)
mullvad/windows-service-rs,2165,Small,Rust (2165)
dalek-cryptography/ed25519-dalek,2123,Small,Rust (2123)
tokio-rs/mini-redis,2049,Small,Rust (2049)
matklad/xshell,2035,Small,Rust (2035)
bbqsrc/cargo-ndk,2023,Small,Rust (2023)
jacobdeichert/mask,1992,Small,Rust (1992)
rgwood/systemctl-tui,1962,Small,Rust (1962)
baoyachi/shadow-rs,1941,Small,Rust (1941)
dropbox/fast_rsync,1917,Small,Rust (1917)
oconnor663/duct.rs,1916,Small,Rust (1916)
mmastrac/rust-ctor,1905,Small,Rust (1905)
KOBA789/relly,1900,Small,Rust (1900)
Aloxaf/silicon,1895,Small,Rust (1895)
ynqa/jnv,1893,Small,Rust (1893)
Manishearth/rust-gc,1888,Small,Rust (1888)
queer/boxxy,1881,Small,Rust (1881)
microsoft/avml,1870,Small,Rust (1870)
Xuanwo/backon,1864,Small,Rust (1864)
talwat/lowfi,1856,Small,Rust (1856)
rust-scraper/scraper,1783,Small,Rust (1783)
kbknapp/cargo-outdated,1732,Small,Rust (1732)
suptejas/fleet,1731,Small,Rust (1731)
ogxd/gxhash,1698,Small,Rust (1698)
EFForg/apkeep,1684,Small,Rust (1684)
mattsse/voyager,1659,Small,Rust (1659)
est31/cargo-udeps,1650,Small,Rust (1650)
ilai-deutel/kibi,1629,Small,Rust (1629)
http-rs/surf,1629,Small,Rust (1629)
jeromefroe/lru-rs,1607,Small,Rust (1607)
Nilirad/bevy_prototype_lyon,1592,Small,Rust (1592)
yaa110/nomino,1569,Small,Rust (1569)
snapview/tokio-tungstenite,1506,Small,Rust (1506)
stepchowfun/docuum,1482,Small,Rust (1482)
orf/gping,1470,Small,Rust (1470)
fitzgen/generational-arena,1462,Small,Rust (1462)
utkarshkukreti/select.rs,1456,Small,Rust (1456)
nnethercote/dhat-rs,1454,Small,Rust (1454)
lemunozm/termchat,1454,Small,Rust (1454)
davidB/kubectl-view-allocations,1446,Small,Rust (1446)
tokio-rs/slab,1445,Small,Rust (1445)
nagisa/rust_libloading,1430,Small,Rust (1430)
sharkdp/binocle,1412,Small,Rust (1412)
rust-lang/datafrog,1400,Small,Rust (1400)
dtolnay/paste,1399,Small,Rust (1399)
fspoettel/advent-of-code-rust,1396,Small,Rust (1396)
mbrubeck/agate,1387,Small,Rust (1387)
RazrFalcon/cargo-bloat,1386,Small,Rust (1386)
smol-rs/async-channel,1374,Small,Rust (1374)
esp-rs/std-training,1366,Small,Rust (1366)
quantumsheep/sshs,1337,Small,Rust (1337)
max-niederman/ttyper,1336,Small,Rust (1336)
rust-osdev/bootimage,1316,Small,Rust (1316)
dtolnay/cargo-expand,1316,Small,Rust (1316)
robmikh/minesweeper-rs,1303,Small,Rust (1303)
g1mv/density,1235,Small,Rust (1235)
jkfran/killport,1229,Small,Rust (1229)
ivmarkov/rust-esp32-std-demo,1190,Small,Rust (1190)
pradt2/always-online-stun,1168,Small,Rust (1168)
rust-fuzz/afl.rs,1163,Small,Rust (1163)
dotenv-rs/dotenv,1133,Small,Rust (1133)
kriomant/ch57x-keyboard-tool,1130,Small,Rust (1130)
bnjbvr/cargo-machete,1115,Small,Rust (1115)
kornelski/cavif-rs,1093,Small,Rust (1093)
smol-rs/smol,1085,Small,Rust (1085)
n0-computer/sendme,1076,Small,Rust (1076)
orhun/halp,1073,Small,Rust (1073)
hanshuaikang/Nping,1062,Small,Rust (1062)
jonhoo/left-right,1029,Small,Rust (1029)
RazrFalcon/pico-args,1024,Small,Rust (1024)
a8m/pb,996,Very Small,Rust (996)
kognise/arpchat,976,Very Small,Rust (976)
YiNNx/cmd-wrapped,947,Very Small,Rust (947)
chiselstrike/chiselstore,873,Very Small,Rust (873)
tokio-rs/async-stream,866,Very Small,Rust (866)
rust-lang/rustfix,865,Very Small,Rust (865)
ufoscout/docker-compose-wait,862,Very Small,Rust (862)
rust-unofficial/too-many-lists,834,Very Small,Rust (834)
dtolnay/indoc,813,Very Small,Rust (813)
seanmonstar/num_cpus,802,Very Small,Rust (802)
tokio-rs/rdbc,798,Very Small,Rust (798)
dtolnay/proc-macro-workshop,789,Very Small,Rust (789)
sharkdp/vivid,788,Very Small,Rust (788)
dragostis/chili,768,Very Small,Rust (768)
cmyr/cargo-instruments,760,Very Small,Rust (760)
tauri-apps/window-vibrancy,745,Very Small,Rust (745)
swanandx/lemmeknow,737,Very Small,Rust (737)
NilsIrl/MozWire,736,Very Small,Rust (736)
athre0z/color-backtrace,732,Very Small,Rust (732)
nvzqz/static-assertions,730,Very Small,Rust (730)
mufeedvh/pdfrip,707,Very Small,Rust (707)
dtolnay/no-panic,676,Very Small,Rust (676)
jonhoo/bus,649,Very Small,Rust (649)
willdoescode/nat,642,Very Small,Rust (642)
m-ou-se/inline-python,609,Very Small,Rust (609)
Detegr/rust-ctrlc,568,Very Small,Rust (568)
purpleprotocol/mimalloc_rust,567,Very Small,Rust (567)
dirs-dev/directories-rs,540,Very Small,Rust (540)
samwho/spacer,535,Very Small,Rust (535)
davidpdrsn/todo-or-die,534,Very Small,Rust (534)
gsquire/topngx,499,Very Small,Rust (499)
rust-cli/confy,480,Very Small,Rust (480)
mufeedvh/moonwalk,458,Very Small,Rust (458)
aripiprazole/rinha-de-compiler,442,Very Small,Rust (442)
bheisler/iai,425,Very Small,Rust (425)
jvns/dnspeep,378,Very Small,Rust (378)
Gankra/cargo-mommy,373,Very Small,Rust (373)
atanunq/viu,369,Very Small,Rust (369)
robiot/rustcat,354,Very Small,Rust (354)
rust-lang-nursery/lazy-static.rs,336,Very Small,Rust (336)
dtolnay/inventory,312,Very Small,Rust (312)
bnjbvr/rouille,309,Very Small,Rust (309)
dtolnay/dyn-clone,287,Very Small,Rust (287)
sharkdp/diskus,267,Very Small,Rust (267)
dtolnay/case-studies,256,Very Small,Rust (256)
zesterer/pollster,250,Very Small,Rust (250)
retrage/gpt-macro,240,Very Small,Rust (240)
m1guelpf/auto-commit,240,Very Small,Rust (240)
dirs-dev/dirs-rs,202,Very Small,Rust (202)
mrdimidium/nanoid,191,Very Small,Rust (191)
supabase/pg_jsonschema,187,Very Small,Rust (187)
