name,Avg Duration (min),Max Duration (min),Long Builds >10min,Runs Counted
utkarshkukreti/select.rs,1.45,2.3,0.0%,7
servo/ipc-channel,11.5,169.72,28.0%,50
rust-lang/portable-simd,44.85,83.73,66.0%,50
rust-cli/confy,1.34,5.15,0.0%,50
aramperes/onetun,1.24,6.3,0.0%,50
evenfurther/pathfinding,1.66,3.88,0.0%,50
microsoft/avml,3.6,11.75,22.0%,50
bitcoindevkit/bdk,5.22,53.38,6.0%,50
alloy-rs/alloy,8.01,65.3,10.0%,50
mcginty/snow,1.55,4.05,0.0%,50
BurntSushi/bstr,2.83,5.08,0.0%,50
SamiPerttu/fundsp,8.18,193.77,2.5%,40
erickt/rust-zmq,3.93,5.23,0.0%,13
orhun/rustypaste,19.41,93.33,20.0%,50
lusingander/serie,5.89,157.2,6.0%,50
sourcefrog/cargo-mutants,6.63,31.13,18.0%,50
tesselode/kira,0.75,1.58,0.0%,50
telegram-rs/telegram-bot,,,,0
mattsse/chromiumoxide,3.95,4.67,0.0%,16
tqwewe/kameo,3.16,3.75,0.0%,50
ogxd/gxhash,1.32,3.97,0.0%,50
rust-cv/cv,89.73,178.18,50.0%,4
oconnor663/duct.rs,1.86,7.78,0.0%,40
matthiaskrgr/cargo-cache,1.61,1.93,0.0%,50
suptejas/volt,,,,0
general-works/Glint,1.23,1.37,0.0%,4
orhun/ratzilla,2.23,12.63,2.0%,50
pendulum-project/ntpd-rs,3.94,8.0,0.0%,50
gimli-rs/gimli,7.6,53.1,2.0%,50
aripiprazole/rinha-de-compiler,,,,0
Nazariglez/notan,0.29,5.2,0.0%,50
Xuanwo/backon,0.99,2.2,0.0%,50
warycat/rustgym,1.35,2.82,0.0%,15
heim-rs/heim,2.83,3.0,0.0%,50
lunatic-solutions/submillisecond,,,,0
dtolnay/trybuild,2.34,10.92,2.0%,50
magic-wormhole/magic-wormhole.rs,0.88,8.63,0.0%,50
Kobzol/cargo-wizard,4.07,6.35,0.0%,5
DNSCrypt/doh-server,0.2,3.68,0.0%,50
mmastrac/rust-ctor,8.44,22.9,32.0%,50
daboross/fern,2.62,4.08,0.0%,36
Lokathor/bytemuck,4.41,7.5,0.0%,50
fast/fastrace,6.69,81.07,4.0%,50
jetli/rust-yew-realworld-example-app,,,,0
smol-rs/async-channel,3.57,8.52,0.0%,50
hahwul/jwt-hack,13.03,112.43,36.0%,50
dtolnay/miniserde,6.68,13.4,4.0%,50
djc/bb8,1.67,4.17,0.0%,50
Gankra/cargo-mommy,1.73,3.93,0.0%,50
nnethercote/dhat-rs,29.93,29.93,100.0%,1
image-rs/imageproc,3.14,10.53,2.0%,50
awesome-rust-com/awesome-rust,0.44,0.82,0.0%,28
8051Enthusiast/biodiff,,,,0
awslabs/flowgger,3.5,16.4,16.7%,6
rust-num/num-traits,2.54,9.02,0.0%,50
dtolnay/proc-macro2,8.65,22.45,34.0%,50
rust-lang/rustfix,,,,0
linebender/kurbo,2.17,23.73,2.0%,50
pacak/cargo-show-asm,2.96,6.45,0.0%,50
actix/actix-extras,3.78,8.93,0.0%,50
aevyrie/bevy_mod_picking,3.77,7.27,0.0%,14
Leafwing-Studios/leafwing-input-manager,7.66,75.88,28.0%,50
messense/jieba-rs,3.02,12.13,2.0%,50
rust-osdev/bootimage,5.17,15.13,8.0%,50
rust-av/rust-av,0.91,3.85,0.0%,50
rust-lang/datafrog,0.67,0.68,0.0%,2
kriomant/ch57x-keyboard-tool,2.32,3.02,0.0%,4
RustCrypto/AEADs,1.37,3.42,0.0%,50
bluss/arrayvec,1.65,3.13,0.0%,39
bbqsrc/cargo-ndk,8.45,18.1,50.0%,50
tokio-rs/slab,4.09,41.6,2.0%,50
RoaringBitmap/roaring-rs,32.96,218.28,58.0%,50
autometrics-dev/autometrics-rs,3.77,7.82,0.0%,10
jonhoo/bus,0.38,0.47,0.0%,50
sciter-sdk/rust-sciter,,,,0
riquito/tuc,0.64,0.95,0.0%,50
zcash/halo2,36.28,208.03,38.0%,50
dirs-dev/directories-rs,1.68,1.68,0.0%,1
rust-fuzz/arbitrary,6.46,60.62,6.4%,47
lichess-org/fishnet,93.46,189.37,96.3%,27
smartcorelib/smartcore,1.6,4.7,0.0%,50
1Password/arboard,6.94,193.48,2.0%,50
paritytech/jsonrpc,,,,0
lucaspoffo/renet,1.28,4.27,0.0%,50
not-fl3/nanoserde,7.4,152.58,6.0%,50
kyoheiu/felix,2.21,4.22,0.0%,50
ivmarkov/rust-esp32-std-demo,,,,0
robmikh/minesweeper-rs,1.41,1.57,0.0%,3
tauri-apps/window-vibrancy,3.46,7.87,0.0%,50
tower-rs/tower-http,4.9,8.58,0.0%,50
Trouv/bevy_ecs_ldtk,9.09,218.0,2.5%,40
dyc3/steamguard-cli,9.16,144.68,2.0%,50
rust-embedded/svd2rust,5.13,13.08,26.0%,50
nashaofu/xcap,3.86,20.55,2.0%,50
dfrg/swash,6.72,163.05,6.0%,50
microsoft/Spartan,1.36,2.27,0.0%,20
akula-bft/akula,,,,0
ibraheemdev/papaya,32.01,219.6,36.0%,50
SergioBenitez/Figment,6.97,30.4,14.3%,7
talwat/lowfi,3.83,10.85,5.6%,36
meilisearch/heed,6.55,83.32,10.0%,50
RustCrypto/password-hashes,0.92,2.57,0.0%,50
fspoettel/advent-of-code-rust,1.15,2.77,0.0%,12
RustCrypto/elliptic-curves,10.8,23.78,56.0%,50
dtolnay/erased-serde,13.13,184.52,38.0%,50
ccxt/binance-rs,2.31,15.48,6.0%,50
microsoft/Nova,10.42,196.77,8.0%,50
robiot/rustcat,,,,0
fu5ha/ultraviolet,4.02,39.27,9.1%,11
paritytech/jsonrpsee,13.71,111.62,16.0%,50
jonasbb/serde_with,2.32,24.78,6.0%,50
Nilirad/bevy_prototype_lyon,2.7,5.0,0.0%,50
hyperium/h3,7.53,132.53,6.0%,50
twilight-rs/twilight,8.04,32.62,34.0%,50
linebender/runebender,,,,0
matklad/xshell,1.76,3.77,0.0%,29
boinkor-net/governor,1.25,5.78,0.0%,50
rust-analyzer/rowan,0.66,5.77,0.0%,45
gimli-rs/object,1.92,2.72,0.0%,50
bee-san/Ares,1.48,4.4,0.0%,50
rust-secure-code/cargo-auditable,2.62,15.63,10.0%,50
veeso/tui-realm,1.36,3.2,0.0%,50
mattsse/voyager,0.65,0.65,0.0%,1
jam1garner/binrw,8.62,144.05,10.9%,46
dtolnay/reflect,13.66,19.68,96.0%,50
davidB/kubectl-view-allocations,2.81,38.93,4.0%,50
rhysd/kiro-editor,,,,0
mlange-42/git-graph,12.62,199.93,10.0%,30
tikv/minitrace-rust,,,,0
lipanski/mockito,1.74,3.68,0.0%,35
jprochazk/garde,9.7,186.4,3.7%,27
orhun/halp,1.38,3.92,0.0%,50
yassinebridi/serpl,8.41,64.93,11.1%,9
servo/font-kit,8.31,92.03,12.5%,32
taiki-e/cargo-hack,9.69,32.27,44.0%,50
cmyr/cargo-instruments,2.06,8.88,0.0%,47
jeromefroe/lru-rs,2.7,25.68,7.4%,27
LukeMathWalker/wiremock-rs,3.48,92.6,2.0%,50
owo-colors/owo-colors,0.87,4.35,0.0%,50
dirs-dev/dirs-rs,0.98,0.98,0.0%,1
dtolnay/dyn-clone,10.08,184.3,18.0%,50
chenxiaolong/avbroot,2.38,7.9,0.0%,50
avr-rust/ruduino,0.0,0.0,0.0%,50
ccbrown/iocraft,2.02,6.0,0.0%,50
pradt2/always-online-stun,3.15,3.95,0.0%,50
dtolnay/indoc,16.07,23.53,90.0%,50
oxidecomputer/progenitor,4.52,15.82,2.0%,50
statrs-dev/statrs,2.75,20.8,4.0%,50
sstadick/hck,5.3,8.4,0.0%,40
RustCrypto/block-ciphers,1.33,5.02,0.0%,50
zip-rs/zip-old,,,,0
dimforge/parry,3.67,6.75,0.0%,50
0x676e67/thunder,,,,0
oxidecomputer/typify,3.6,6.0,0.0%,50
rust-windowing/gl-rs,1.0,1.25,0.0%,9
dalek-cryptography/ed25519-dalek,,,,0
n0-computer/sendme,8.15,140.62,4.0%,50
mdeloof/statig,2.52,3.47,0.0%,50
tokio-rs/async-stream,2.3,6.38,0.0%,50
dtolnay/prettyplease,8.91,17.95,40.0%,50
gsquire/topngx,0.67,0.8,0.0%,7
esp-rs/std-training,5.22,31.28,8.0%,50
Kobzol/cargo-pgo,13.36,223.28,12.0%,50
fitzgen/generational-arena,,,,0
yaa110/nomino,2.45,35.55,2.2%,46
makeecat/Peng,3.03,20.55,8.0%,50
rsadsb/adsb_deku,31.66,35.53,100.0%,50
alexcrichton/tar-rs,0.67,1.72,0.0%,50
mbrubeck/agate,0.8,10.22,2.0%,50
zhxie/pcap2socks,,,,0
RustCrypto/traits,2.6,8.27,0.0%,50
taiki-e/pin-project,6.18,66.07,36.0%,50
smol-rs/polling,3.68,8.62,0.0%,50
PistonDevelopers/glfw-rs,2.52,3.92,0.0%,2
dragostis/chili,1.41,1.82,0.0%,50
nushell/reedline,29.08,182.5,34.0%,50
pubgrub-rs/pubgrub,6.64,198.02,4.0%,50
sudipghimire533/ytui-music,1.76,2.6,0.0%,17
Plonky3/Plonky3,10.48,175.32,32.0%,50
pop-os/libcosmic,3.91,17.08,2.0%,50
dropbox/fast_rsync,0.9,1.2,0.0%,14
purpleprotocol/mimalloc_rust,6.64,140.65,6.0%,50
ruma/ruma,1.74,3.52,0.0%,50
zkat/cacache-rs,3.95,4.73,0.0%,4
dtolnay/ryu,13.12,23.77,90.0%,50
valpackett/systemstat,1.53,2.52,0.0%,8
Axect/Peroxide,1.22,1.57,0.0%,50
seanmonstar/httparse,24.73,157.45,24.0%,50
stepchowfun/docuum,13.02,160.95,14.0%,50
KOBA789/relly,,,,0
knurling-rs/probe-run,,,,0
retrage/gpt-macro,0.87,3.73,0.0%,50
lmt-swallow/puppy-browser,,,,0
Cretezy/lazyjj,4.1,26.48,4.0%,50
someguynamedjosh/ouroboros,1.86,3.82,0.0%,9
KipData/KiteSQL,23.15,177.63,98.0%,50
llogiq/mutagen,2.59,3.03,0.0%,50
dtolnay/semver,14.47,23.43,92.0%,50
Detegr/rust-ctrlc,1.23,1.73,0.0%,10
aome510/hackernews-TUI,2.97,5.8,0.0%,9
kornelski/cavif-rs,17.51,125.17,11.1%,9
diwic/dbus-rs,6.71,91.57,8.7%,23
a16z/magi,0.0,0.0,0.0%,3
softprops/shiplift,,,,0
nvzqz/static-assertions,,,,0
Fullstop000/wickdb,,,,0
open-source-cooperative/keyring-rs,2.66,14.83,6.0%,50
serialport/serialport-rs,14.47,207.08,56.0%,50
vincent-herlemont/native_db,4.93,16.35,14.0%,50
frondeus/test-case,4.89,9.05,0.0%,50
bheisler/iai,,,,0
dimforge/salva,13.47,152.78,26.7%,30
RazrFalcon/pico-args,10.37,10.37,100.0%,1
narrowlink/narrowlink,1.25,1.85,0.0%,45
chipsenkbeil/distant,0.15,0.28,0.0%,50
zesterer/pollster,5.75,58.68,9.1%,11
baoyachi/shadow-rs,4.09,37.15,16.0%,50
RustCrypto/RSA,3.51,19.42,8.0%,50
gschup/ggrs,5.95,71.05,7.5%,40
dropbox/pb-jelly,1.11,1.8,0.0%,36
kawasin73/prsqlite,,,,0
zaeleus/noodles,5.07,50.18,2.0%,50
seanmonstar/num_cpus,13.69,161.35,6.2%,16
dotenv-rs/dotenv,0.0,0.0,0.0%,1
esp-rs/esp-idf-hal,17.96,87.4,58.0%,50
NilsIrl/MozWire,1.25,2.3,0.0%,4
microsoft/com-rs,0.64,0.88,0.0%,3
NiklasEi/bevy_asset_loader,30.73,216.7,84.0%,50
davidpdrsn/todo-or-die,,,,0
a8m/pb,,,,0
typst/pdf-writer,0.42,0.52,0.0%,50
mullvad/windows-service-rs,42.59,180.9,36.0%,25
mrdimidium/nanoid,,,,0
chiselstrike/chiselstore,,,,0
p-e-w/savage,,,,0
tokio-rs/rdbc,,,,0
gltf-rs/gltf,3.79,6.02,0.0%,6
rharish101/ReGreet,2.22,6.92,0.0%,50
alceal/plotlars,3.54,4.5,0.0%,50
lemunozm/termchat,,,,0
athre0z/color-backtrace,3.27,38.45,5.3%,19
robertpsoane/ducker,1.86,5.55,0.0%,50
sharkdp/vivid,2.47,5.65,0.0%,28
hanshuaikang/Nping,1.07,3.8,0.0%,50
rust-phf/rust-phf,1.22,6.65,0.0%,50
est31/cargo-udeps,1.37,6.83,0.0%,50
dotenv-linter/dotenv-linter,2.15,14.28,12.0%,50
JelteF/derive_more,1.34,5.9,0.0%,50
algesten/ureq,2.72,7.15,0.0%,50
bluealloy/revm,4.85,11.58,6.0%,50
bahdotsh/wrkflw,4.2,57.7,2.0%,50
dtolnay/case-studies,12.49,18.55,82.0%,50
colored-rs/colored,31.33,226.82,25.0%,44
rust-lang/git2-rs,3.28,6.17,0.0%,50
rust-random/rand,2.76,6.48,0.0%,50
J-F-Liu/lopdf,2.29,28.28,2.0%,50
Keats/jsonwebtoken,1.63,2.33,0.0%,11
tauri-apps/tao,7.44,139.65,8.0%,50
alexykn/sps,4.02,12.48,16.0%,50
fitzgen/bumpalo,3.67,5.15,0.0%,34
pop-os/cosmic-text,3.25,35.18,6.0%,50
glotlabs/gdrive,,,,0
google/argh,18.14,165.17,15.4%,13
fabianlindfors/reshape,1.82,4.12,0.0%,4
latex-lsp/texlab,2.23,6.13,0.0%,50
rust-embedded/heapless,0.86,1.78,0.0%,50
rust-fuzz/afl.rs,6.45,43.62,20.0%,50
fltk-rs/fltk-rs,1.69,8.65,0.0%,50
bitshifter/glam-rs,10.51,33.3,36.0%,50
ilai-deutel/kibi,1.66,6.27,0.0%,50
m4b/bingrep,,,,0
kkawakam/rustyline,2.89,74.48,2.0%,50
jkfran/killport,1.39,3.18,0.0%,8
Macchina-CLI/macchina,3.33,15.43,2.0%,50
microsoft/windows-drivers-rs,18.69,90.13,50.0%,50
asomers/mockall,0.03,0.22,0.0%,50
ufoscout/docker-compose-wait,1.82,4.27,0.0%,3
rust-av/Av1an,6.72,20.82,30.0%,50
amethyst/legion,,,,0
rust-fuzz/cargo-fuzz,4.41,126.93,2.0%,50
queer/boxxy,1.92,6.68,0.0%,50
iovxw/rssbot,1.96,5.43,0.0%,50
pythops/oryx,6.95,223.3,6.0%,50
yamafaktory/jql,3.08,5.47,0.0%,50
samwho/spacer,3.65,8.45,0.0%,38
zmwangx/rust-ffmpeg,2.29,6.15,0.0%,50
fereidani/kanal,0.76,1.35,0.0%,50
EmbarkStudios/puffin,6.79,102.55,10.0%,50
greyblake/nutype,1.34,1.72,0.0%,50
barter-rs/barter-rs,1.45,9.33,0.0%,50
bnjbvr/rouille,0.36,0.42,0.0%,10
mooman219/fontdue,1.25,6.65,0.0%,16
kevinmehall/rust-peg,1.11,1.47,0.0%,36
bodil/im-rs,8.89,12.18,32.0%,25
orhun/gpg-tui,1.06,3.6,0.0%,50
orium/rpds,7.34,17.03,50.0%,50
pdf-rs/pdf,1.48,4.23,0.0%,19
servo/rust-smallvec,10.64,207.23,14.0%,50
cessen/ropey,19.34,231.07,10.0%,20
LeeeSe/MessAuto,9.88,39.28,26.3%,19
tikv/pprof-rs,11.09,238.8,8.0%,50
geiger-rs/cargo-geiger,2.42,5.45,0.0%,50
databricks/click,2.47,7.28,0.0%,10
regolith-labs/ore-cli,,,,0
http-rs/surf,,,,0
rust-lang/polonius,0.49,0.83,0.0%,3
avhz/RustQuant,1.97,3.8,0.0%,50
Aleph-Alpha/ts-rs,2.76,5.5,0.0%,50
SeaQL/sea-query,11.51,195.9,4.0%,50
enigo-rs/enigo,13.24,196.0,48.0%,50
fornwall/rust-script,2.17,5.98,0.0%,50
console-rs/dialoguer,4.05,10.53,5.0%,20
kaist-cp/cs431,1.17,4.72,0.0%,35
colin-kiegel/rust-derive-builder,2.87,7.62,0.0%,50
mufeedvh/moonwalk,,,,0
tokio-rs/io-uring,20.5,215.28,28.0%,50
jacobdeichert/mask,4.25,7.78,0.0%,28
dtolnay/quote,18.55,184.02,88.0%,50
obi1kenobi/cargo-semver-checks,6.4,37.05,16.0%,50
jakobhellermann/bevy-inspector-egui,4.24,5.0,0.0%,50
ozkriff/zemeroth,,,,0
dimforge/bevy_rapier,8.53,33.28,28.0%,50
skyzh/type-exercise-in-rust,,,,0
golemparts/rppal,0.86,1.83,0.0%,42
tarkah/tickrs,4.52,12.18,7.4%,27
dtolnay/typetag,13.42,18.75,90.0%,50
tafia/quick-xml,14.94,73.48,96.0%,50
grovesNL/glow,2.59,4.15,0.0%,50
jvns/dnspeep,,,,0
nagisa/rust_libloading,4.98,33.3,9.5%,21
max-niederman/ttyper,0.58,0.72,0.0%,25
orhun/systeroid,1.84,4.47,0.0%,50
Eugeny/russh,3.36,5.8,0.0%,50
wormtql/yas,3.42,3.97,0.0%,10
cyphar/paperback,13.49,24.72,52.0%,50
Stebalien/tempfile,8.78,54.35,8.0%,50
Marwes/combine,2.16,2.25,0.0%,3
kbknapp/cargo-outdated,9.2,124.25,20.9%,43
tokio-rs/tokio-uring,0.91,1.12,0.0%,8
ferrilab/bitvec,,,,0
gorilla-devs/ferium,8.4,19.32,39.0%,41
quantumsheep/sshs,3.95,8.3,0.0%,32
Chleba/netscanner,4.29,5.53,0.0%,39
3Hren/msgpack-rust,0.76,0.78,0.0%,2
EFForg/apkeep,4.01,7.93,0.0%,14
wooorm/markdown-rs,14.28,216.57,6.0%,50
hoodie/notify-rust,10.66,80.68,16.0%,50
itsjunetime/tdf,12.22,218.48,10.0%,50
willdoescode/nat,,,,0
hyperium/http,19.55,211.37,18.0%,50
sharksforarms/deku,1.42,6.82,0.0%,50
zkat/big-brain,16.97,153.3,7.1%,14
nats-io/nats.rs,12.04,40.47,32.0%,50
burtonageo/cargo-bundle,4.19,84.78,2.0%,50
XAMPPRocky/octocrab,11.66,239.48,18.0%,50
mufeedvh/pdfrip,0.98,1.58,0.0%,3
m1guelpf/auto-commit,,,,0
sharkdp/binocle,6.77,9.6,0.0%,8
ebkalderon/tower-lsp,,,,0
time-rs/time,9.32,42.93,48.0%,50
brendanzab/codespan,0.93,4.88,0.0%,50
m-ou-se/inline-python,0.48,0.65,0.0%,23
graphql-rust/graphql-client,3.27,7.45,0.0%,50
nvzqz/divan,5.77,11.8,14.8%,27
blst-security/cherrybomb,0.0,0.0,0.0%,3
helix-editor/nucleo,4.77,129.33,6.0%,50
rustgd/cgmath,2.01,3.2,0.0%,50
Nukesor/comfy-table,3.88,37.35,6.0%,50
wssheldon/osintui,1.48,4.75,0.0%,41
jamesmunns/postcard,1.42,2.9,0.0%,50
lemunozm/message-io,4.46,6.0,0.0%,4
YiNNx/cmd-wrapped,1.4,11.52,4.2%,24
TedDriggs/darling,1.59,4.1,0.0%,50
dtolnay/inventory,11.43,172.57,16.0%,50
SuperCuber/dotter,2.86,5.17,0.0%,9
jrmuizel/raqote,0.68,0.68,0.0%,1
servo/core-foundation-rs,9.28,165.12,18.0%,50
dtolnay/no-panic,13.12,20.72,84.0%,50
amqp-rs/lapin,5.28,26.98,10.0%,50
regexident/cargo-modules,4.4,6.55,0.0%,50
Ralith/hecs,1.19,8.0,0.0%,50
cksac/fake-rs,8.23,148.47,6.0%,50
BurntSushi/aho-corasick,7.63,8.48,0.0%,50
iliekturtles/uom,5.13,12.0,10.0%,50
rust-shell-script/rust_cmd_lib,0.58,3.62,0.0%,35
uuid-rs/uuid,5.51,6.93,0.0%,50
paupino/rust-decimal,7.15,87.4,8.0%,50
japaric/xargo,0.0,0.0,0.0%,1
foyer-rs/foyer,6.84,28.7,44.0%,50
supabase/pg_jsonschema,7.54,67.57,2.0%,50
zargony/fuse-rs,,,,0
sharkdp/diskus,4.87,32.83,9.1%,11
DNSCrypt/encrypted-dns-server,1.21,13.67,2.0%,50
osa1/tiny,2.34,14.2,4.0%,25
oxidecomputer/dropshot,5.65,10.48,2.0%,50
zkcrypto/bellman,,,,0
ramosbugs/oauth2-rs,4.29,9.6,0.0%,50
estk/log4rs,1.01,4.73,0.0%,50
async-raft/async-raft,,,,0
vorner/arc-swap,4.03,13.98,12.0%,50
adam-mcdaniel/dune,1.62,3.02,0.0%,2
idanarye/rust-typed-builder,0.63,1.05,0.0%,30
riker-rs/riker,2.79,3.33,0.0%,50
bnjbvr/cargo-machete,4.88,24.28,18.0%,50
bodil/vgtk,6.12,7.5,0.0%,24
dtolnay/paste,3.57,11.3,4.5%,44
BurntSushi/byteorder,5.95,8.77,0.0%,50
rgwood/systemctl-tui,1.94,3.0,0.0%,8
RustAudio/vst-rs,,,,0
Abraxas-365/langchain-rust,11.55,21.8,68.0%,50
bitflags/bitflags,1.75,4.65,0.0%,50
johanhelsing/matchbox,4.19,19.97,20.0%,50
Manishearth/rust-gc,13.31,64.0,25.0%,8
ZenGo-X/multi-party-ecdsa,1.69,1.92,0.0%,50
rxRust/rxRust,0.77,2.03,0.0%,12
rust-lang/flate2-rs,5.38,7.48,0.0%,50
fadeevab/design-patterns-rust,0.81,1.03,0.0%,4
Canop/termimad,3.21,45.17,5.3%,19
g1mv/density,2.78,52.55,2.3%,43
swanandx/lemmeknow,,,,0
tokio-rs/turmoil,6.12,189.92,2.0%,50
mrjackwills/oxker,8.64,11.35,25.0%,12
toml-rs/toml-rs,,,,0
i3visio/solana-mev-bot,2.47,3.05,0.0%,13
JakWai01/lurk,9.34,96.62,10.5%,19
facebookexperimental/MIRAI,,,,0
RustAudio/dasp,1.48,2.92,0.0%,7
casbin/casbin-rs,1.35,4.03,0.0%,50
dtolnay/serde-yaml,,,,0
Razaekel/noise-rs,4.72,5.08,0.0%,2
tower-rs/tower,16.25,214.9,14.0%,50
redox-os/orbtk,,,,0
sfackler/rust-postgres,2.72,3.98,0.0%,50
crossterm-rs/crossterm,4.96,86.53,6.0%,50
lapce/floem,9.41,126.83,40.0%,50
ron-rs/ron,32.62,177.93,60.0%,50
chronotope/chrono,2.28,5.25,0.0%,50
xacrimon/dashmap,2.45,4.23,0.0%,50
Findomain/Findomain,1.59,3.37,0.0%,50
rkyv/rkyv,2.48,6.43,0.0%,50
TimelyDataflow/timely-dataflow,9.88,60.95,16.0%,50
rust-lang/rls,,,,0
rust-unofficial/too-many-lists,,,,0
oxipng/oxipng,3.3,10.33,2.0%,50
kube-rs/kube,3.48,25.88,12.0%,50
racer-rust/racer,3.41,5.07,0.0%,50
Aloxaf/silicon,2.43,4.1,0.0%,11
juhaku/utoipa,9.27,171.13,2.0%,50
tikv/raft-rs,9.71,159.58,6.0%,50
TaKO8Ki/gobang,,,,0
Amanieu/parking_lot,22.42,198.6,50.0%,34
greshake/i3status-rust,2.19,3.33,0.0%,50
YS-L/csvlens,1.08,16.9,2.0%,50
rust-itertools/itertools,20.33,155.23,24.0%,50
Julien-cpsn/ATAC,7.57,21.1,34.0%,50
dtolnay/cargo-expand,9.58,18.63,44.0%,50
atanunq/viu,4.62,6.12,0.0%,7
bastion-rs/bastion,,,,0
TimelyDataflow/differential-dataflow,2.46,4.48,0.0%,50
rust-lang/hashbrown,9.59,135.88,54.0%,50
zesterer/flume,25.65,161.0,20.0%,10
TheDan64/inkwell,3.6,68.77,6.0%,50
hora-search/hora,,,,0
RazrFalcon/cargo-bloat,,,,0
kognise/arpchat,,,,0
rustic-rs/rustic,15.34,70.72,46.0%,50
solidiquis/erdtree,,,,0
ihciah/shadow-tls,9.64,69.37,12.5%,8
tokio-rs/loom,3.05,6.53,0.0%,50
suptejas/fleet,,,,0
rust-lang/log,3.98,9.3,0.0%,50
ntex-rs/ntex,11.1,24.42,68.0%,50
rust-embedded/embedded-hal,0.43,0.92,0.0%,50
mikaelmello/inquire,1.31,7.15,0.0%,50
Jondolf/avian,20.62,125.83,62.0%,50
Keats/validator,8.71,179.68,4.2%,24
zkat/miette,16.29,210.85,13.0%,46
chinedufn/percy,6.48,24.03,22.2%,9
LukeMathWalker/cargo-chef,2.74,36.55,2.0%,50
rajasekarv/vega,0.52,0.52,0.0%,1
zhiburt/tabled,1.47,5.88,0.0%,50
memorysafety/river,2.06,12.18,3.1%,32
shshemi/tabiew,5.16,73.65,6.0%,50
vnt-dev/vnt,8.07,13.78,54.5%,11
snapview/tokio-tungstenite,10.38,162.8,8.7%,23
rust-scraper/scraper,2.95,101.27,4.0%,50
Xudong-Huang/may,7.65,153.92,8.0%,50
snapview/tungstenite-rs,3.78,84.07,2.0%,50
std-microblock/BetterNCM-Installer,1.03,1.03,0.0%,1
cjbassi/ytop,,,,0
indexmap-rs/indexmap,7.03,104.33,2.0%,50
Peternator7/strum,1.76,4.37,0.0%,34
Storyyeller/Krakatau,3.27,4.12,0.0%,2
RustCrypto/hashes,8.36,19.03,44.0%,50
tokio-rs/bytes,13.52,18.48,82.0%,50
moka-rs/moka,6.25,12.47,34.0%,50
linkerd/linkerd2-proxy,3.95,14.3,16.0%,50
rust-windowing/glutin,4.75,22.57,4.0%,50
RustAudio/rodio,3.07,4.93,0.0%,50
dtolnay/async-trait,14.97,23.55,82.0%,50
EmbarkStudios/cargo-deny,2.39,24.35,2.0%,50
zesterer/ariadne,3.18,67.82,4.0%,25
rust-lang-nursery/lazy-static.rs,1.06,1.18,0.0%,8
ryanmcgrath/cacao,0.67,1.22,0.0%,50
matklad/once_cell,5.1,8.68,0.0%,50
jonhoo/left-right,0.29,0.43,0.0%,50
tafia/calamine,0.49,1.05,0.0%,50
meilisearch/meilisearch,15.95,93.12,24.0%,50
tokio-rs/tokio,7.4,82.73,16.0%,50
TheAlgorithms/Rust,1.18,15.05,2.0%,50
cloudflare/pingora,2.68,10.68,12.0%,50
HigherOrderCO/Bend,5.83,75.5,8.0%,50
Rigellute/spotify-tui,,,,0
0x192/universal-android-debloater,1.4,1.4,0.0%,1
rayon-rs/rayon,2.37,10.4,2.0%,50
microsoft/edit,4.09,85.0,4.0%,50
orf/gping,3.73,103.35,2.0%,50
rathole-org/rathole,5.26,11.3,12.5%,32
imsnif/bandwhich,3.44,10.7,4.0%,50
fdehau/tui-rs,,,,0
Spotifyd/spotifyd,4.34,11.72,4.0%,50
seanmonstar/warp,4.21,93.47,4.0%,50
serde-rs/serde,6.07,7.75,0.0%,50
sharkdp/hexyl,8.59,110.77,8.2%,49
rust-bakery/nom,3.08,8.78,0.0%,50
jpochyla/psst,14.17,26.42,80.0%,50
actix/actix,3.05,11.08,2.0%,50
mainmatter/100-exercises-to-learn-rust,4.88,9.42,0.0%,50
vi/websocat,3.19,26.87,5.0%,20
youki-dev/youki,3.18,22.3,10.0%,50
n0-computer/iroh,3.63,34.07,12.0%,50
dtolnay/anyhow,18.25,185.68,64.0%,50
sharkdp/pastel,4.86,19.37,14.0%,50
rust-lang/futures-rs,4.27,12.07,28.0%,50
ynqa/jnv,1.05,6.17,0.0%,50
flamegraph-rs/flamegraph,2.08,13.0,2.0%,50
image-rs/image,6.49,8.6,0.0%,50
serde-rs/json,9.5,173.38,2.0%,50
tealdeer-rs/tealdeer,5.81,26.58,6.0%,50
WebAssembly/WASI,0.92,2.13,0.0%,3
http-rs/tide,,,,0
PaulJuliusMartinez/jless,1.39,2.85,0.0%,5
dtolnay/thiserror,5.97,18.12,4.0%,50
console-rs/indicatif,3.59,59.43,4.0%,50
ProvableHQ/leo,11.11,172.13,16.0%,50
rhaiscript/rhai,7.44,37.03,10.0%,50
dimforge/rapier,8.55,73.93,40.0%,50
webrtc-rs/webrtc,5.98,33.62,6.0%,50
bytedance/monoio,6.49,35.98,28.0%,50
dtolnay/proc-macro-workshop,4.88,8.67,0.0%,50
quinn-rs/quinn,21.89,45.05,72.0%,50
smol-rs/smol,3.22,5.55,0.0%,50
tokio-rs/mini-redis,1.64,2.5,0.0%,3
plotters-rs/plotters,2.49,29.08,4.0%,50
async-rs/async-std,4.28,6.58,0.0%,17
ivanceras/svgbob,2.46,7.83,0.0%,33
rust-ndarray/ndarray,9.51,91.97,10.0%,50
